,job_title,job_company,job_location,job_seniority,job_category,job_employment_type,job_salary_range_from,job_salary_range_to,job_salary_type,job_details_url,job_description,job_requirements
0,"Assistant Director, Evaluation & Analytics",Health Promotion Board,,,Healthcare / Pharmaceutical ...,Permanent,,,,https://www.mycareersfuture.sg/job/assistant-director-evaluation-analytics-health-promotion-board-527ddf3132a46eeab12d0bc3dad9a918,,
0,Data Scientist,REDMART LIMITED,West,Professional,Engineering ...,Permanent ...,"$7,000","$11,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-redmart-d77abad3021721ed47d06477dbeb7994,,
0,"VP  /  AVP, Data Scientist, Investment and Trading Technology, Technology and Operations  (180002YF)",DBS BANK LTD.,East,Manager,Banking and Finance,Permanent ...,"$9,500","$15,000",Monthly,https://www.mycareersfuture.sg/job/vp-avp-data-scientist-investment-trading-technology-technology-operations-dbs-bank-83d07e298a71fe6b2602698bd9034c98,,
0,Research Fellow,NATIONAL UNIVERSITY OF SINGAPORE,South,Professional,Sciences / Laboratory / R&D,Full Time,"$5,500","$6,500",Monthly,https://www.mycareersfuture.sg/job/research-fellow-national-university-singapore-79fb6ef98d64e3c86a93b059b67c5023,,
0,"VP  /  AVP, Data Scientist, Investment and Trading Technology, Technology and Operations  (180002YF)",DBS BANK LTD.,East,Manager,Banking and Finance,Permanent ...,"$6,500","$13,000",Monthly,https://www.mycareersfuture.sg/job/vp-avp-data-scientist-investment-trading-technology-technology-operations-dbs-bank-eead37c97d5f75af49e091d13fd427aa,,
0,business analyst - APJC Strategy and Planning,CISCO SYSTEMS (USA) PTE. LTD.,East,Professional,Information Technology,Full Time,"$100,000","$145,000",Annually,https://www.mycareersfuture.sg/job/business-analyst-apjc-strategy-planning-cisco-systems-b9477f0ac59acf2a6be0f06cd87eb330,,
0,business analyst - APJC Strategy and Planning,CISCO SYSTEMS (USA) PTE. LTD.,East,Professional,Information Technology,Full Time,"$100,000","$145,000",Annually,https://www.mycareersfuture.sg/job/business-analyst-apjc-strategy-planning-cisco-systems-0eaf7dd1336a157290d8a0d1e727e63b,,
0,business analyst - APJC Strategy and Planning,CISCO SYSTEMS (USA) PTE. LTD.,East,Professional,Information Technology,Full Time,"$83,000","$124,500",Annually,https://www.mycareersfuture.sg/job/business-analyst-apjc-strategy-planning-cisco-systems-e76c0e247a2a775d5472c89e2859dffa,,
0,business analyst - APJC Strategy and Planning,CISCO SYSTEMS (USA) PTE. LTD.,East,Professional,Information Technology,Full Time,"$83,000","$124,500",Annually,https://www.mycareersfuture.sg/job/business-analyst-apjc-strategy-planning-cisco-systems-eb2b7204e162422e7137d5656cf0734f,,
0,Data Scientist,MSD INTERNATIONAL GMBH (SINGAPORE BRANCH),South,Executive,Information Technology,Permanent ...,"$4,000","$7,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-msd-international-gmbh-fbb0e62f5fb426a26eee17e1f59e6180,,
0,Data Scientist,Company Undisclosed,South,Professional,Healthcare / Pharmaceutical,Contract ...,"$5,000","$8,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-bc82cd8168e79cfa790e07f2b5757898,,
0,Data Scientist,Company Undisclosed,South,Professional,Healthcare / Pharmaceutical,Contract ...,"$6,000","$9,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-ad7c026b412e1ed5ca8f07d82c322ead,,
0,Data Scientist 12 month contract,Company Undisclosed,South,Professional,Healthcare / Pharmaceutical,Contract ...,"$6,000","$9,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-12-month-contract-cf7adcfbf69c39e62a5e297a45bc7176,,
0,"VP / AVP, Senior Data Engineer, Group Consumer Banking and Big Data Analytics Technology (180003L2)",DBS BANK LTD.,East,Middle Management ...,Banking and Finance,Permanent ...,"$7,000","$14,000",Monthly,https://www.mycareersfuture.sg/job/vp-avp-senior-data-engineer-group-consumer-banking-big-data-analytics-technology-dbs-bank-41369aada853ab1d604a4bd218031943,,
0,"Manager, Data Science",SINGAPORE HEALTH SERVICES PTE LTD,South,Manager,Others,Full Time,,,,https://www.mycareersfuture.sg/job/manager-data-science-singapore-health-services-63027e829bcd8c3de1cf0a1c3ca58e8e,,
0,Data Science Consultant,CPM CONSULTING PTE. LTD.,Central,Professional,Information Technology,Permanent,"$3,000","$6,500",Monthly,https://www.mycareersfuture.sg/job/data-science-consultant-cpm-consulting-0a2a428522865a7fe47e40bdf563a6e6,,
0,Associate Professor,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,West,Manager,Education and Training,Contract ...,"$9,000","$17,000",Monthly,https://www.mycareersfuture.sg/job/associate-professor-singapore-university-social-sciences-52361ad0509934ef6678bef24e9a555a,,
0,Lecturer,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,West,Manager,Education and Training,Contract ...,"$5,000","$10,000",Monthly,https://www.mycareersfuture.sg/job/lecturer-singapore-university-social-sciences-f7c182eb4f78a6e0bd9c0c89e57870e7,,
0,Senior Lecturer,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,"South, West",Manager,Education and Training,Contract ...,"$7,000","$12,000",Monthly,https://www.mycareersfuture.sg/job/senior-lecturer-singapore-university-social-sciences-7bc3a4b70ce1de7a77e24a57a691a771,,
0,Business Data Analyst,CAPGEMINI SINGAPORE PTE. LTD.,Central,Professional,Information Technology,Permanent ...,"$5,000","$7,000",Monthly,https://www.mycareersfuture.sg/job/business-data-analyst-capgemini-singapore-555bb4bd3613483b8606ca8b8e06bf37,,
0,Analyst Programmer,APAR TECHNOLOGIES PTE. LTD.,Islandwide,Professional,Information Technology,Permanent,"$5,000","$7,000",Monthly,https://www.mycareersfuture.sg/job/analyst-programmer-apar-technologies-ba9e28b03b7ba69a83739989b6f0e146,,
0,Data Scientist,RAKUTEN ASIA PTE. LTD.,Central,Manager ...,Information Technology,Full Time,"$5,000","$9,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-rakuten-asia-734297bce7f56393b05d42d1cc2757bc,,
0,Office of Information Services - Manager  /  Deputy Manager (Learning Application Development),Republic Polytechnic,,,Education and Training ...,Full Time,"$4,200","$7,300",Monthly,https://www.mycareersfuture.sg/job/office-information-services-manager-deputy-manager-republic-polytechnic-434828c280b189d63113ccbfc12ebae4,,
0,Office of Information Services - Manager  /  Deputy Manager (Learning Application Development),Republic Polytechnic,,,Education and Training ...,Full Time,,,,https://www.mycareersfuture.sg/job/office-information-services-manager-deputy-manager-republic-polytechnic-59c05d52f00fc6fe0b51ec5488f833d8,,
